service_id,date,exception_type
MISTO_NscolL-Surb,20231102,1
MISTO_NscolL-Vurb,20230406,1
MISTO_NscolL-Vurb,20230407,1
MISTO_NscolL-Vurb,20230411,1
MISTO_NscolL-Vurb,20230608,1
MISTO_NscolL-Vurb,20230609,1
MISTO_NscolL-Vurb,20230612,1
MISTO_NscolL-Vurb,20230613,1
MISTO_NscolL-Vurb,20230614,1
MISTO_NscolL-Vurb,20230615,1
MISTO_NscolL-Vurb,20230616,1
MISTO_NscolL-Vurb,20230619,1
MISTO_NscolL-Vurb,20230620,1
MISTO_NscolL-Vurb,20230621,1
MISTO_NscolL-Vurb,20230622,1
MISTO_NscolL-Vurb,20230623,1
MISTO_NscolL-Vurb,20230626,1
MISTO_NscolL-Vurb,20230627,1
MISTO_NscolL-Vurb,20230628,1
MISTO_NscolL-Vurb,20230629,1
MISTO_NscolL-Vurb,20230630,1
MISTO_NscolL-Vurb,20230703,1
MISTO_NscolL-Vurb,20230704,1
MISTO_NscolL-Vurb,20230705,1
MISTO_NscolL-Vurb,20230706,1
